source_code,fact_table,bp_standard_name,metric_column,metric_name,metric_type,agg_suggest,unit,is_derived,derived_logic,remark,review_status,updated_at
yummy001,ods_yummy_business_evaluation_cost_consulting,商务评分_造价咨询,business_evaluation_total_score,业务评价总分,不可加度量,avg,分,Y,各评分项得分之和,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_cost_consulting,商务评分_造价咨询,contract_amount,合同金额,可加度量,sum,元,N,,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_cost_consulting,商务评分_造价咨询,bidding_contract_score,【商务配合】：招标合同（15分）,不可加度量,avg,分,N,,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_cost_consulting,商务评分_造价咨询,quotation_visa_score,【商务配合】：报价、签证（20分）,不可加度量,avg,分,N,,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_cost_consulting,商务评分_造价咨询,payment_terms_score,【商务配合】：付款条件（15分）,不可加度量,avg,分,N,,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_cost_consulting,商务评分_造价咨询,performance_score,【商务配合】：履约情况（30分）,不可加度量,avg,分,N,,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_cost_consulting,商务评分_造价咨询,payment_review_timeliness_and_accuracy_score,【商务配合】：付款审核及时性及准确性（20分）,不可加度量,avg,分,N,,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_cost_consulting,商务评分_造价咨询,rationalization_suggestions_bonus_score,【商务配合】：合理化建议情况加分项,不可加度量,avg,分,N,,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_design,商务评分_设计,business_evaluation_total_score,业务评价总分,不可加度量,avg,分,Y,各评分项得分之和,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_design,商务评分_设计,contract_amount,合同金额,可加度量,sum,元,N,,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_design,商务评分_设计,contract_performance_score,【商务配合】：合同履约（10分）,不可加度量,avg,分,N,,,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_design,商务评分_设计,quotation_visa_score,【商务配合】：报价、签证（10分）,不可加度量,avg,分,N,,,pending,2026-04-13
